Député,Parti.politique,Région,Nombre.de.voix,Rang.dans.la.liste,Age,Profession,Bloc
Bechir Ben Amor,Mouvement Nidaa Tounes,Medenine,14334,1,69,Chef d'entreprise,Mouvement Nidaa Tounes
Bechir Ellazzem,Mouvement Ennahdha,Bizerte,43437,1,58,Médecin ,Mouvement Ennahdha
Bechir Khelifi,Mouvement Ennahdha,Tataouine,22770,1,42,Avocat,Mouvement Ennahdha
Belgacem Dkhili,Mouvement Nidaa Tounes,Jendouba,34484,1,53,Cadre supérieur dans la fonction publique,Mouvement Nidaa Tounes
Bochra Belhaj Hamida,Mouvement Nidaa Tounes,Tunis 2,115045,2,62,Avocat,Bloc National
Brahim Nacef,Mouvement Nidaa Tounes,Bizerte,56968,3,65,Pharmacien,Bloc Al Horra du Mouvement Machrouu Tounes
Chafik Ayadi,Front Populaire,Sfax 1,6413,1,61,Enseignant du secondaire,Front Populaire
Chahida Fraj,Mouvement Ennahdha,Monastir,37815,2,57,Cadre supérieur dans la fonction publique,Mouvement Ennahdha
Chaker Ayadi,Mouvement Nidaa Tounes,Jendouba,34484,3,50,Avocat,Mouvement Nidaa Tounes
Chakib Bani,Mouvement Nidaa Tounes,Nabeul 1,73739,4,34,Enseignant universitaire,Mouvement Nidaa Tounes
Dalila Babba,Mouvement Ennahdha,France 2,8134,2,51,Non catégorisé,Mouvement Ennahdha
Dorra Yaacoubi,Union Patriotique Libre,Jendouba,4084,1,35,Enseignant universitaire,Union Patriotique Libre
El Khansa Ben Harrath,Mouvement Nidaa Tounes,Le Kef,34885,2,49,Ingénieur ,Mouvement Nidaa Tounes
Emna Ben Hmayed,Mouvement Ennahdha,Bizerte,43437,2,37,Enseignant du secondaire,Mouvement Ennahdha
Faouzia Ben Fodha,Union Patriotique Libre,La Manouba,9460,1,54,Instituteur enseignement de base,Union Patriotique Libre
Fathi Ayadi,Mouvement Ennahdha,Sfax 1,49609,1,53,Enseignant du secondaire,Mouvement Ennahdha
Fathi Chamkhi,Front Populaire,Nabeul 2,4007,1,63,Enseignant universitaire,Front Populaire
Fatma Mseddi,Mouvement Nidaa Tounes,Sfax 2,70081,4,38,Chercheur universitaire,Mouvement Nidaa Tounes
Faycel Khelifa,Mouvement Nidaa Tounes,Sousse,102604,5,50,Cadre supérieur dans la fonction publique,Mouvement Nidaa Tounes
Faycel Tebini,Bloc Social-Démocrate,Jendouba,2273,1,52,Fonctionnaire dans le secteur privé,Aucun bloc
Ferida Laabidi,Mouvement Ennahdha,Kairouan,39300,2,50,Avocat,Mouvement Ennahdha
Ghazi Chaouachi,Bloc Démocrate,Ben Arous,7226,1,55,Avocat,Bloc Démocrate
Habib Khedher,Mouvement Ennahdha,Gabès,58152,3,47,Avocat,Mouvement Ennahdha
Hafedh Zouari,Afek Tounes et l'appel des tunisiens à l'étranger,Sousse,12360,1,55,Chef d'entreprise,Aucun bloc
Hassouna Nasfi,Mouvement Nidaa Tounes,Gabès,19821,1,45,Cadre supérieur dans la fonction publique,Bloc Al Horra du Mouvement Machrouu Tounes
Hayet Omri,Mouvement Ennahdha,Sidi Bouzid,18990,2,36,Chercheur universitaire,Mouvement Ennahdha
Haykel Belgacem,Front Populaire,Mahdia,3215,1,45,Instituteur enseignement de base,Front Populaire
Hedi Ben Braham,Mouvement Ennahdha,Mahdia,24865,1,67,Enseignant universitaire,Mouvement Ennahdha
Hedi Soula,Mouvement Ennahdha,Kairouan,39300,3,56,Cadre supérieur dans la fonction publique,Mouvement Ennahdha
Heger Ben Cheikh Ahmed,Afek Tounes et l'appel des tunisiens à l'étranger,Tunis 2,9119,2,0,,Aucun bloc
Heger Bouzemmi,Mouvement Ennahdha,Medenine,68795,4,29,Etudiant,Mouvement Ennahdha
Heger Laaroussi,Mouvement Nidaa Tounes,Sfax 2,70081,2,49,Avocat,Bloc Al Horra du Mouvement Machrouu Tounes
Hela Hammi,Mouvement Ennahdha,Ben Arous,61420,2,53,Cadre supérieur dans le secteur bancaire,Mouvement Ennahdha
Hela Omrane,Mouvement Nidaa Tounes,Monastir,104221,2,37,Technicien supérieur,Mouvement Nidaa Tounes
Hmed Khaskhoussi,Bloc Social-Démocrate,Sidi Bouzid,2774,1,70,Enseignant universitaire,Allégeance à la Patrie
Houcine Jaziri,Mouvement Ennahdha,France 1,11533,2,49,Chef d'entreprise,Mouvement Ennahdha
Houda Slim,Mouvement Nidaa Tounes,Tunis 2,115045,6,0,,Bloc Al Horra du Mouvement Machrouu Tounes
Houda Tekaya,Mouvement Nidaa Tounes,La Manouba,38009,2,55,Fonctionnaire dans le secteur privé,Mouvement Nidaa Tounes
Houssem Bounenni,Mouvement Nidaa Tounes,Nabeul 1,73739,2,43,Fonctionnaire dans le secteur privé,Mouvement Nidaa Tounes
Hssan Amri,Mouvement Nidaa Tounes,Ariana,82769,3,40,Commerçant,Mouvement Nidaa Tounes
Hssine Yahyaoui,Mouvement Ennahdha,Tataouine,22770,3,63,Cadre supérieur dans la fonction publique,Mouvement Ennahdha
Ibrahim Ben Said,Bloc Démocrate,Kebili,8953,1,44,Enseignant du secondaire,Bloc Démocrate
Ibtihej Ben Helal,Mouvement Nidaa Tounes,Bizerte,56968,4,37,Fonctionnaire publique,Mouvement Nidaa Tounes
Ibtissem Jebabli,Mouvement Nidaa Tounes,Tunis 1,60295,3,37,Avocat,Mouvement Nidaa Tounes
Ikram Moulahi,Mouvement Nidaa Tounes,Kasserine,28362,2,34,Etudiant,Mouvement Nidaa Tounes
Imed Daimi,Bloc Démocrate,Medenine,6305,1,47,Ingénieur ,Bloc Démocrate
Imed Khemiri,Mouvement Ennahdha,La Manouba,33064,1,53,Cadre supérieur dans le secteur privé,Mouvement Ennahdha
Imed Ouled Jebril,Mouvement Nidaa Tounes,Mahdia,50448,3,36,Enseignant du secondaire,Mouvement Nidaa Tounes
Imen Ben Mhamed,Mouvement Ennahdha,Italie,2975,1,33,Représentant d'association,Mouvement Ennahdha
Ismail Ben Mahmoud,Mouvement Nidaa Tounes,Sfax 2,70081,3,51,Fonctionnaire dans le secteur privé,Mouvement Nidaa Tounes
Issam Matoussi,Mouvement Nidaa Tounes,Beja,30457,3,39,Enseignant universitaire,Mouvement Nidaa Tounes
Jamila Debbech,Mouvement Ennahdha,Ariana,42459,2,49,Cadre dans la fonction publique,Mouvement Ennahdha
Jamila Jouini,Mouvement Ennahdha,Tataouine,22770,2,50,Enseignant du secondaire,Mouvement Ennahdha
Jihen Aouichi,Mouvement Nidaa Tounes,Jendouba,34484,2,34,Avocat,Mouvement Nidaa Tounes
Jilani Hammami,Front Populaire,Siliana,6562,1,60,Fonctionnaire dans le secteur privé,Front Populaire
Kalthoum Badreddine,Mouvement Ennahdha,Sfax 2,57994,2,54,Avocat,Mouvement Ennahdha
Kamel Dhaouadi,Mouvement Nidaa Tounes,France 2,12987,1,47,Avocat,Mouvement Nidaa Tounes
Kamel Harraghi,Union Patriotique Libre,Le Kef,3069,1,63,Fonctionnaire publique,Union Patriotique Libre
Karim Helali,Afek Tounes et l'appel des tunisiens à l'étranger,Ariana,6266,1,47,Magistrat,Aucun bloc
Karima  Taggaz,Mouvement Ennahdha,France 1,11533,3,35,,Mouvement Ennahdha
Khawla Ben Aicha,Mouvement Nidaa Tounes,France 1,15406,2,29,Chercheur universitaire,Bloc Al Horra du Mouvement Machrouu Tounes
Khemais Ksila,Mouvement Nidaa Tounes,Nabeul 2,60247,1,61,Fonctionnaire publique,Allégeance à la Patrie
Lajmi Lourimi,Mouvement Ennahdha,Sousse,50820,3,56,Enseignant du secondaire,Mouvement Ennahdha
Lakhdhar Belhouchat,Mouvement Ennahdha,Medenine,68795,5,53,Instituteur enseignement de base,Mouvement Ennahdha
Lamia Dridi,Mouvement Nidaa Tounes,Bizerte,8767,2,49,,Mouvement Nidaa Tounes
Lamia Gharbi,Mouvement Nidaa Tounes,Nabeul 1,73739,5,0,,Mouvement Nidaa Tounes
